,Origin,Destination,Time (min),Summary,Directions
28,Al Hamra,Prager Hopfenstube,30.25,M10,"Head west on Raumerstraße. Go for 53 m.Turn left onto Dunckerstraße. Go for 240 m.Continue straight ahead. Go for 19 m.Go to the station Berlin, Husemannstr. and take the rail M10 toward S+U Warschauer Str.. Follow for 10 stations.Get off at U Frankfurter Tor.Head south on Frankfurter Tor. Go for 25 m.Turn right onto Frankfurter Tor. Go for 49 m.Turn left. Go for 358 m.Arrive at Karl-Marx-Allee. Your destination is on the left."
29,Prager Hopfenstube,Molly Malones Irish Pub,15.3,,Head east on Karl-Marx-Allee. Go for 57 m.Turn right onto Fritz-Schiff-Weg. Go for 32 m.Continue straight ahead. Go for 13 m.Turn right onto Karl-Marx-Allee. Go for 29 m.Turn left. Go for 54 m.Turn left onto Hildegard-Jadamowitz-Straße. Go for 16 m.Turn right onto Graudenzer Straße. Go for 100 m.Turn slightly right onto Lasdehner Straße. Go for 154 m.Continue straight onto Platz. Go for 22 m.Head southwest. Go for 32 m.Turn left onto Gubener Straße. Go for 164 m.Turn right. Go for 124 m.Turn left. Go for 18 m.Turn right. Go for 23 m.Turn slightly left onto Marchlewskistraße. Go for 38 m.Arrive at Marchlewskistraße. Your destination is on the left.
30,Molly Malones Irish Pub,Madinina,11.516666666666667,,Head northwest on Marchlewskistraße. Go for 38 m.Turn right onto Comeniusplatz. Go for 367 m.Turn left. Go for 271 m.Arrive at your destination on the left.
31,Madinina,Habana,6.133333333333334,,Head south. Go for 70 m.Turn left onto Grünberger Straße. Go for 288 m.Arrive at Grünberger Straße. Your destination is on the left.
32,Habana,Restaurant Sigiriya,1.5833333333333333,,Head east on Grünberger Straße. Go for 95 m.Arrive at Grünberger Straße. Your destination is on the left.
33,Restaurant Sigiriya,Cafe De Colombia,6.15,,Head east on Grünberger Straße. Go for 57 m.Turn right onto Boxhagener Platz. Go for 223 m.Turn slightly right. Go for 45 m.Turn right onto Simplonstraße. Go for 21 m.Arrive at Simplonstraße. Your destination is on the left.
34,Cafe De Colombia,La Casita,31.85,"M13, S41","Head northwest on Simplonstraße. Go for 29 m.Continue straight onto Simplonstraße. Go for 146 m.Go to the station Berlin, Libauer Str. and take the rail M13 toward Berlin, Virchow-Klinikum. Follow for 4 stations.Get off at S+U Frankfurter Allee.Walk to S+U Frankfurter Allee.Take the rail S41. Follow for 2 stations.Get off at S Treptower Park.Head west. Go for 52 m.Turn right onto Gebäude. Go for 64 m.Head east. Go for 40 m.Turn left. Go for 153 m.Turn right. Go for 131 m.Arrive at your destination on the left."
35,La Casita,King Wok,44.93333333333333,"S42, S7",Head northwest. Go for 131 m.Turn left. Go for 153 m.Turn right. Go for 40 m.Continue straight onto Gebäude. Go for 64 m.Walk to S Treptower Park.Take the rail S42. Follow for 1 station.Get off at S Ostkreuz Bhf.Take the rail S7 toward S Ahrensfelde Bhf. Follow for 6 stations.Get off at S Marzahn.Head west. Go for 179 m.Turn right. Go for 65 m.Arrive at your destination on the right.
36,King Wok,Hong Kong Bistro,63.46666666666667,"S7, S41, S46",Head north. Go for 65 m.Turn left onto Marzahner Promenade. Go for 179 m.Go to the station S Marzahn and take the rail S7 toward S Potsdam Hauptbahnhof. Follow for 6 stations.Get off at S Ostkreuz Bhf.Take the rail S41. Follow for 3 stations.Get off at S+U Neukölln.Take the rail S46 toward S Baumschulenweg. Follow for 1 station.Get off at S Köllnische Heide.Head southeast on Planetenstraße. Go for 404 m.Turn left onto Berliner Mauerweg. Go for 162 m.Turn right. Go for 74 m.Turn left onto Heidekampweg. Go for 107 m.Turn left onto Hänselstraße. Go for 134 m.Turn left onto Hänselstraße. Go for 43 m.Turn right onto Hänselstraße. Go for 70 m.Arrive at Hänselstraße. Your destination is on the right.
37,Hong Kong Bistro,Restaurant Dalmatino,17.033333333333335,,Head southwest on Hänselstraße. Go for 70 m.Turn left onto Hänselstraße. Go for 111 m.Turn right onto Hänselstraße. Go for 182 m.Continue straight onto Hänselstraße. Go for 467 m.Turn left onto Sonnenallee. Go for 159 m.Arrive at Sonnenallee. Your destination is on the left.
38,Restaurant Dalmatino,Zum Nussbaum,12.033333333333333,,Head northwest on Sonnenallee. Go for 30 m.Turn left. Go for 10 m.Turn right onto Sonnenallee. Go for 248 m.Turn left. Go for 234 m.Turn right. Go for 42 m.Turn right onto Weg Nr. 3. Go for 128 m.Arrive at Weg Nr. 3. Your destination is on the right.
39,Zum Nussbaum,Jemenitisches Restaurant,31.283333333333335,S46,Head southwest on Weg Nr. 3. Go for 128 m.Turn right. Go for 97 m.Turn right onto Weg Nr. 5. Go for 250 m.Turn left onto Sonnenallee. Go for 125 m.Turn right onto Planetenstraße. Go for 102 m.Go to the station S Köllnische Heide and take the rail S46 toward S+U Gesundbrunnen Bhf. Follow for 1 station.Get off at S+U Neukölln.Head north on Saalestraße. Go for 199 m.Turn right onto Karl-Marx-Straße. Go for 545 m.Arrive at Karl-Marx-Straße.
40,Jemenitisches Restaurant,Bulgarian Banitsa,11.5,U7,Head north on Karl-Marx-Straße. Go for 240 m.Go to the station U Karl-Marx-Str. and take the rail U7 toward S+U Rathaus Spandau. Follow for 1 station.Get off at U Rathaus Neukölln.Head north on Karl-Marx-Straße. Go for 14 m.Turn right onto Boddinstraße. Go for 170 m.Arrive at Boddinstraße. Your destination is on the right.
41,Bulgarian Banitsa,Karabach Restaurant,18.35,,Head west on Boddinstraße. Go for 488 m.Turn left onto Hermannstraße. Go for 183 m.Turn slightly left onto Hermannstraße. Go for 394 m.Turn left onto Leykestraße. Go for 12 m.Arrive at Leykestraße.
42,Karabach Restaurant,Zoe's Ghana Kitchen,19.266666666666666,,Head west on Leykestraße. Go for 12 m.Turn right onto Hermannstraße. Go for 846 m.Turn left onto Karlsgartenstraße. Go for 109 m.Turn right onto Wissmannstraße. Go for 142 m.Turn left onto Wissmannstraße. Go for 15 m.Arrive at Wissmannstraße. Your destination is on the right.
43,Zoe's Ghana Kitchen,Prizreni,13.333333333333334,,Head east on Wissmannstraße. Go for 15 m.Turn left onto Wissmannstraße. Go for 358 m.Turn right onto Hasenheide. Go for 403 m.Arrive at Karl-Marx-Straße. Your destination is on the left.
44,Prizreni,Aldimashqi,6.466666666666667,,Head southeast on Karl-Marx-Straße. Go for 66 m.Turn left onto Reuterstraße. Go for 308 m.Arrive at Reuterstraße. Your destination is on the right.
45,Aldimashqi,Lagari,11.4,,Head north on Reuterstraße. Go for 481 m.Turn right onto Pflügerstraße. Go for 191 m.Arrive at Pflügerstraße. Your destination is on the right.
46,Lagari,Senegambia,17.45,,Head northwest on Pflügerstraße. Go for 275 m.Turn right onto Friedelstraße. Go for 224 m.Turn slightly right onto Hobrechtbrücke. Go for 273 m.Turn right onto Reichenberger Straße. Go for 251 m.Arrive at Reichenberger Straße. Your destination is on the left.
47,Senegambia,Mama Shabz,5.25,,Head northwest on Reichenberger Straße. Go for 315 m.Arrive at Reichenberger Straße. Your destination is on the left.
48,Mama Shabz,Rissani,7.8,,Head southeast on Reichenberger Straße. Go for 64 m.Turn left onto Ohlauer Straße. Go for 233 m.Turn slightly left onto Wiener Straße. Go for 157 m.Arrive at Wiener Straße. Your destination is on the left.
49,Rissani,Rosa Caleta,6.633333333333334,,Head north on Spreewaldplatz. Go for 5 m.Turn right. Go for 58 m.Turn left onto Lausitzer Platz. Go for 276 m.Turn right onto Muskauer Straße. Go for 45 m.Arrive at Muskauer Straße. Your destination is on the left.
50,Rosa Caleta,chili chutney,2.2666666666666666,,Head northwest on Muskauer Straße. Go for 45 m.Turn right onto Eisenbahnstraße. Go for 81 m.Arrive at Eisenbahnstraße. Your destination is on the left.
51,chili chutney,PINK'S,0.1,,Head southwest on Eisenbahnstraße. Go for 6 m.Arrive at Eisenbahnstraße. Your destination is on the right.
52,PINK'S,Holy Everest,0.16666666666666666,,Head southwest on Eisenbahnstraße. Go for 10 m.Arrive at Eisenbahnstraße. Your destination is on the right.
